stock,NS,SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
20MICRONS,.NS,20MICRONS.NS,20 Microns Limited,EQ,06-Oct-2008,5,1,INE144J01027,5
21STCENMGM,.NS,21STCENMGM.NS,21st Century Management Services Limited,EQ,03-May-1995,10,1,INE253B01015,10
360ONE,.NS,360ONE.NS,360 ONE WAM LIMITED,EQ,19-Sep-2019,1,1,INE466L01038,1
3IINFOLTD,.NS,3IINFOLTD.NS,3i Infotech Limited,EQ,22-Oct-2021,10,1,INE748C01038,10
3MINDIA,.NS,3MINDIA.NS,3M India Limited,EQ,13-Aug-2004,10,1,INE470A01017,10
3PLAND,.NS,3PLAND.NS,3P Land Holdings Limited,EQ,19-Jul-1995,2,1,INE105C01023,2
5PAISA,.NS,5PAISA.NS,5Paisa Capital Limited,EQ,16-Nov-2017,10,1,INE618L01018,10
63MOONS,.NS,63MOONS.NS,63 moons technologies limited,EQ,20-Jun-2005,2,1,INE111B01023,2
A2ZINFRA,.NS,A2ZINFRA.NS,A2Z Infra Engineering Limited,BE,23-Dec-2010,10,1,INE619I01012,10
AAATECH,.NS,AAATECH.NS,AAA Technologies Limited,EQ,28-Nov-2022,10,1,INE0D0U01013,10
AAKASH,.NS,AAKASH.NS,Aakash Exploration Services Limited,EQ,29-Sep-2020,1,1,INE087Z01024,1
AAREYDRUGS,.NS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,BE,06-Aug-2021,10,1,INE198H01019,10
AARON,.NS,AARON.NS,Aaron Industries Limited,EQ,06-Nov-2020,10,1,INE721Z01010,10
AARTECH,.NS,AARTECH.NS,Aartech Solonics Limited,BE,10-Jul-2023,10,1,INE01C001018,10
AARTIDRUGS,.NS,AARTIDRUGS.NS,Aarti Drugs Limited,EQ,19-Sep-2003,10,1,INE767A01016,10
AARTIIND,.NS,AARTIIND.NS,Aarti Industries Limited,EQ,08-Feb-1995,5,1,INE769A01020,5
AARTIPHARM,.NS,AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,30-Jan-2023,5,1,INE0LRU01027,5
AARTISURF,.NS,AARTISURF.NS,Aarti Surfactants Limited,EQ,14-Jul-2020,10,1,INE09EO01013,10
AARVEEDEN,.NS,AARVEEDEN.NS,Aarvee Denims & Exports Limited,EQ,21-Nov-2006,10,1,INE273D01019,10
AARVI,.NS,AARVI.NS,Aarvi Encon Limited,EQ,24-Jun-2020,10,1,INE754X01016,10
